no,kuni,name,prefecture,lat,lon
1,岩代,伊佐須美神社,福島県,37.4570,139.8407
2,磐城,都都古和氣神社,福島県,37.0321,140.3760
3,常陸,鹿島神宮,茨城県,35.9688,140.6316
4,下総,香取神宮,千葉県,35.8858,140.5292
5,上総,玉前神社,千葉県,35.3736,140.3621
6,安房,安房神社,千葉県,34.9221,139.8340
7,武蔵,氷川神社,埼玉県,35.9167,139.6297
8,相模,寒川神社,神奈川県,35.3687,139.3857
9,下野,日光二荒山神社,栃木県,36.7583,139.5967
10,上野,一之宮貫前神社,群馬県,36.2553,138.8575
11,甲斐,浅間神社,山梨県,35.6478,138.6976
12,伊豆,三嶋大社,静岡県,35.1243,138.9185
13,駿河,富士山本宮浅間大社,静岡県,35.2267,138.6106
14,遠江,小國神社,静岡県,34.8471,137.9008
15,三河,砥鹿神社,愛知県,34.8481,137.4210
16,尾張,真清田神社,愛知県,35.3083,136.8028
17,美濃,南宮大社,岐阜県,35.3626,136.5244
18,飛騨,水無神社,岐阜県,36.0861,137.2517
19,信濃,諏訪大社（本宮）,長野県,35.9986,138.1250
20,佐渡,度津神社,新潟県,37.8633,138.3305
21,越中,気多神社,富山県,36.8008,137.0444
22,能登,気多大社,石川県,36.9248,136.7648
23,加賀,白山比咩神社,石川県,36.4383,136.6358
24,越前,氣比神宮,福井県,35.6554,136.0747
25,若狭,若狭彦神社,福井県,35.4668,135.7785
26,近江,建部大社,滋賀県,34.9738,135.9136
27,伊賀,敢國神社,三重県,34.7892,136.1627
28,伊勢,椿大神社,三重県,34.9654,136.4526
29,志摩,伊射波神社,三重県,34.4752,136.8757
30,紀伊,日前神宮,和歌山県,34.2255,135.2016
31,淡路,伊弉諾神宮,兵庫県,34.4599,134.8524
32,山城,賀茂別雷神社,京都府,35.0594,135.7525
33,大和,大神神社,奈良県,34.5295,135.8519
34,河内,枚岡神社,大阪府,34.6677,135.6496
35,和泉,大鳥大社,大阪府,34.5361,135.4597
36,摂津,住吉大社,大阪府,34.6124,135.4937
37,丹波,出雲大神宮,京都府,35.0596,135.5784
38,丹後,籠神社,京都府,35.5824,135.1963
39,但馬,出石神社,兵庫県,35.4816,134.8728
40,因幡,宇倍神社,鳥取県,35.4820,134.2686
41,伯耆,倭文神社,鳥取県,35.4908,133.9027
42,出雲,出雲大社,島根県,35.4019,132.6855
43,隠岐,水若酢神社,島根県,36.2803,133.2489
44,播磨,伊和神社,兵庫県,35.0880,134.5864
45,美作,中山神社,岡山県,35.1001,133.9948
46,備前,吉備津彦神社,岡山県,34.6770,133.8641
47,備中,吉備津神社,岡山県,34.6703,133.8504
48,備後,吉備津神社,広島県,34.5693,133.2711
49,安芸,厳島神社,広島県,34.2960,132.3198
50,周防,玉祖神社,山口県,34.0581,131.5334
51,長門,住吉神社,山口県,33.9996,130.9566
